title|authors|startpage|endpage|affiliation|references
New Starlink node at Sussex|Murray, Jo|2|2|AA(Rutherford Appleton Laboratory)|
Language sensitive ADAM programming|Warren-Smith, Rodney|3|3|AA(Rutherford Appleton Laboratory)|SB5/27 SUN/105 SGP/16 SUN/7
ADAM Support Group|Murray, Jo|4|4|AA(Rutherford Appleton Laboratory)|Proceedings_of_the_1989_ADAM_Workshop
The Joy of X|Clayton, Chris|5|5|AA(Rutherford Appleton Laboratory)|
Error Reporting|Rees, Paul|5|5|AA(Rutherford Appleton Laboratory)|SUN/104
Starlink Users' Committee|Murray, Jo|6|6|AA(Rutherford Appleton Laboratory)|
ADAM Developments|Chipperfield, Alan|6|6|AA(Rutherford Appleton Laboratory)|SUN/57 SB6/5b
Software and documentation news|Lawden, Mike|7|7|AA(Rutherford Appleton Laboratory)|SUN/103 SUN/109 SUN/13 SUN/26 SUN/104 SUN/73 SUN/54 SUN/107 SUN/49 SUN/105 SUN/70 SG/4 SUN/1 SUN/11 SUN/33 SUN/53 SUN/67 SUN/82 SB5/9
FORCHECK - a Fortran verifier|Wallace, Patrick|7|7|AA(Rutherford Appleton Laboratory)|SGP/16 SUN/63 SB3/6 SUN/73
Captain Starlink in Robo-Manager|Foster, Julian; Clayton, Chris|8|8|AB(RAL)|
IUE final archive|Rees, Paul|9|9|AA(Rutherford Appleton Laboratory)|Heck,_1981,_ESA_IUE_Newsletter,_9,_10 Heck,_1981,_ESA_IUE_Newsletter,_10 West,_1982,_ESA_IUE_Newsletter,_12,_27 NASA_IUE_Newsletter_34 NASA_IUE_Newsletter_38 1988EIUEN..29....9L
Conferences on VAXnotes|Murray, Jo|9|9|AA(Rutherford Appleton Laboratory)|SUN/44 SB4/24b
X-ray observations from TTM|Skinner, Gerry|10|11|AA(University of Birmingham)|
Ultraluminous starbust galaxies|Leech, Kieron; Rowan-Robinson, Michael; Hughes, Joanne; Lawrence, Andy|12|12|AA(Queen Mary and Westfield College)|
Ten years ago|Lawden, Mike|13|13|AA(Rutherford Appleton Laboratory)|SB3/1 1980ESIB....1.....
What's in a node?|Clayton, Chris|13|13|AA(Rutherford Appleton Laboratory)|
An expedition into Starlink software|Lawden, Mike|14|14|AA(Rutherford Appleton Laboratory)|SGP/16
Starlink software support policy|Wallace, Patrick; Bromage, Gordon|14|15|AA(Rutherford Appleton Laboratory)|SB6/14a SGP/2
IMage analysis on Starlink|Eaton, Nick; Maddox, Steve|16|17|AA(Durham University) AB(Oxford University)|SB5/24 SUN/109
FIGARO 3 -- the FIGARO yet to come|Shortridge, Keith|18|18|AA(Anglo-Australian Observatory)|SGP/38
IRCAM imaging of the host galaxies of quasars|Dunlop, James|19|19|AA(Lancashire Polytechnic)|SUN/41
The APM 'Great Attactor' survey|Raychaudhury, Somak|20|21|AA(University of Cambridge)|1988ApJ...326...19L SB3/19b 1989Natur.342..251R 1989PhDT.......122R 1930BHarO.874....9S
Parallel Processors|Coe, Malcolm; Yearworth, Mike|22|22|AA(University of Southampton)|
FLAIR multi-object spectroscopy|Watson, Fred; Parker, Quentin; Oates, Paddy|23|25|AA(Anglo-Australian Observatory) AB(Royal Observatory, Edinburgh) AC(University of Durham)|1986SPIE..627..787W 1990SPIE.1235..736W 1990A&AS...84..455P 1991MNRAS.253..222W
The COSMOS mail forum|Parker, Quentin|25|25|AA(Royal Observatory, Edinburgh)|
MAPLE- maths the easy way|Lawden, Mike|25|25|AA(Rutherford Appleton Laboratory)|SUN/107
Symbiotic stars|Riffat, Siry Isra|26|26|AA(University of Keele)|SUN/42 SUN/95 1984ApJ...286..263T
