title|authors|startpage|endpage|affiliation|references
The next Fortran|Page, Clive|2|4|AA(Leicester University)|SGP/16
ADAM bargain offer|Lawden, Mike|4|4|AA(Rutherford Appleton Laboratory)|SG/4
ADAM workshop|Chipperfield, Alan|5|5|AA(Rutherford Appleton Laboratory)|Proceedings_of_the_1989_ADAM_workshop
JCMT observations of protostellar cores|Moore, Toby|6|6|AA(Queen Mary & Westfield College)|SUN/17 SUN/41 SUN/95
FITS ain't what it used to be|Currie, Malcolm|6|7|AA(Rutherford Appleton Laboratory)|SUN/68 1981A&AS...44..363W 1981A&AS...44..371G 1988A&AS...73..359G 1988A&AS...73..365H
Captain Starlink in "Oh,no, it's backup day"|Foster, Julian|8|8||
Bug reporting in Starlink|Rawlinson, David|8|9|AA(Rutherford Appleton Laboratory)|
Software and documentation news|Lawden, Mike|9|9|AA(Rutherford Appleton Laboratory)|SUN/40 SUN/57 SUN/65 SSN/65 SUN/55 SUN/16 SUN/66 SB5/18b SB5/28 SGP/1 SUN/5 SUN/14 SUN/30 SUN/85 SUN/91 SG/4
Make your VAX programs go faster...|Murray, Jo; Warren-Smith, Rodney|10|11|AA(Rutherford Appleton Laboratory)|SGP/16
The EXOSAT database|Pollock, Andy|12|12|AA(ESTEC)|
1989 Starlink AGM|Murray, Jo|12|13|AA(Rutherford Appleton Laboratory)|
The last farewell|Murray, Jo|14|14|AA(Rutherford Appleton Laboratory)|
SPAN gateway|Terrett, Dave|14|14|AA(Rutherford Appleton Laboratory)|
ASTROM|Wallace, Patrick|15|15|AA(Rutherford Appleton Laboratory)|SUN/5 SUN/32 SUN/67
Reminder - please acknowledge Starlink|Bromage, Gordon|15|15|AA(Rutherford Appleton Laboratory)|
Letters to the editor|Shortridge, Keith; Warmels, Rein; Walker, Helen|16|17|AA(Anglo-Australian Observatory) AB(ESO Image Processing Group, Garching) AC(Rutherford Appleton Laboratory)|SB4/20a SB4/26 SUN/70
Starlink questionnaire|Wallace, Patrick|17|17|AA(Rutherford Appleton Laboratory)|SGP/35
Figaro corner|Shortridge, Keith|18|18|AA(Anglo-Australian Observatory)|
TSP - a Time Series/Polarimetry package|Bailey, Jeremy|18|19|AA(Joint Astronomy Centre)|SUN/66 SGP/38
Observations of variability in white dwarfs|Barstow, Martin|20|21|AA(Leicester University)|
Lunatic's corner revisited|Wallace, Patrick|21|21|AA(Rutherford Appleton Laboratory)|SB4/7a
CCP7 and Starlink|Jeffery, Simon|22|23|AA(University of St Andrews)|SUN/50 Dufton,_P.L.,_1987_Newslett._Anal._astr._Spectra_11,_3 1989QJRAS..30..195J 1985QJRAS..26..521L Lynas-Gray,_A.E.,_1987_Newslett_Anal._astr._Spectra,_11,_8
The COSMOS crowded field software|Beard, Steven|24|26|AA(Royal Observatory, Edinburgh)|1990MNRAS.247..311B 1984VA.....27..433M doi:10.1016/0262-8856(84)90022-2 SUN/24 SUN/42
VAXset|Terrett, Dave|27|27|AA(Rutherford Appleton Laboratory)|
Image processing with KAPPA|Currie, Malcolm|28|28|AA(Rutherford Appleton Laboratory)|
Unix - the case against|Allan, Peter|G2|G2|AA(Manchester University)|
Unix - the case in favour|Shone, David|G2|G3|AA(Jodrell Bank)|
A different view from afar|Wells, Don|G4|G5|AA(National Radio Astronomy Observatory, Charlottesville)|SB4/2 Weizenbaum,_J.,_1976,_Computer_Power_and_Human_Reason,_102, Freeman Crocker,_D.H.,_Battle_of_the_Titans:_TCP/IP_vs_OSI,_Computerworld,_11_September_1989,_p._95
Interactive Data Language|Dickens, Bob; Payne, Jeff|G5|G6|AA(Rutherford Appleton Laboratory)|
MIDAS|Banse, Klaus; Grosbol, Preben; Warmels, Rein|G6|G7|AA(ESO Image Processing Group, Garching)|
AIPS for non-radio astronomers|Flatters, Chris|G7|G8|AA(National Radio Astronomy Observatory, Socorro)|
A view from nearby|Penny, Alan|G8|G10|AA(Rutherford Appleton Laboratory)|SB4/2
Comments from Starlink|Wallace, Pat; Warren-Smith, Rodney|G10|G12|SB5/G8 SB5/G2a SB5/G2b SB5/G4 SB5/G5 SB5/G7 SB5/G8
