title|authors|startpage|endpage|affiliation|references
Opening of Hatfield Starlink Node|Lawden, Mike|1|1|AA(RAL)|
Editorial|Lawden, Mike|2|2|AA(RAL)|SGP/7 SB8/10 SB8/12 SUN/1
Ten years ago|Lawden, Mike|2|2|AA(RAL)|Enterprise4
Successful launch of Solar-A|Phillips, Ken|3|3|AA(RAL)|
New products|Lawden, Mike; Bly, Martin|4|4|AA(RAL)|SUN/119 SUN/120 SGP/5 SUN/136 SUN/124 SUN/130 SUN/135 SUN/22 SUN/131 SUN/31 SUN/52 SUN/62 SUN/129 SSN/45 SG/4 SUN/92 SUN/95 SUN/86 SUN/9 SUN/12 SUN/41 SGP/4 SGP/16 SGP/7 SUN/34 SUN/77 SUN/127 SUN/128 SGP/25 SUN/1 SUN/109 SUN/118
Comings and goings|Lawden, Mike|5|5|AA(RAL|SUN/101 SGP/4
SPECSIG news|Mills, Dave|5|5|AA(University College London)|
RASIG news|Pedlar, Alan|6|6|AA(Jodrell Bank)|
SASIG news|Phillips, Ken|6|6|AA(RAL)|SUN/76
The database problem|Page, Clive|7|7|AA(Leicester University)|
The EXOSAT database system|Osborne, Julian|8|9|AA(Leicester University)|SUN/127 1991ASSL..171...11W 1991edsa.book.....B 1991edsb.book.....B 1991edso.book.....B
Progress with ADAM|Allan, Peter|10|11|AA(RAL)|
My first ADAM program|Clayton, Chris|11|11|AA(RAL)|SUN/101
The Unix Starlink software collection|Clayton, Chris|11|12|AA(RAL)|SUN/118 SSN/66 SGP/11 SSN/9
Future needs in astronomical computing|Coe, Malcolm; Clayton, Chris|12|12|AA(University of Southampton) AB(RAL)|
Captain Starlink and the Five-Mile Telescope|Foster, Julian; Clayton, Chris|13|13|AA(RAL)|
Even faster ASTERIX with Caplin Cybernetics|Gorrod, Martin|14|15|AA(University of Southampton)|SB7/9
Using a parallel computer to do astronomy|Penny, Alan|16|19|AA(RAL)|SB7/9
Error handling applications|Meyerdierks, Horst|19|20|AA(Royal Observatory, Edinburgh)|SGP/38 SUN/33 1969drea.book.....B
Modeling the broad line region of active galactic nuclei|Goad, Mike; O'Brien, Paul|21|23|AA(University College London)|
Studies of protostars and comets in Kent|Macdonald, Geoff; Green, Simon|24|25|AA(University of Kent)|
The enigma of 10214+4724|Lawrence,Andy|25|26|AA(Queen Mary and Westfield College)|1991Natur.351..719R 1993MNRAS.260...28L
RV Tauri stars|Shenton, Mervyn|26|26|AA(University of Keele)|
Numerical hydrodynamics of Nova remnants|Lloyd, Huw; O'Brien, Tim; Bode, Mike|27|27|AA(Lancashire Polytechnic)|1991MNRAS.250..581F 1992MNRAS.255..683O
