title|authors|startpage|endpage|affiliation|references
Happy Birthday Starlink!|Lawden, Mike|1|1|AA(RAL)|
Editorial|Lawden, Mike|2|2|AA(RAL)|SB7/6
Opening of Kent Starlink Node|Lawden, Mike|2|2|AA(RAL)|
Two hundred years of astronomy at Armagh Observatory|Brown, Paul|3|3|AA(Armagh Observatory)|1990csai.book.....B 1888MmRAS..49....1D
New software and documentation|Lawden, Mike|4|4|AA(RAL)|SUN/11 SUN/72 SUN/33 SUN/110 SG/4 SUN/54 SUN/83 SUN/76 SUN/28 SUN/109 SUN/97 SUN/70 SGP/31 SUG SUN/95 SUN/101 SUN/105 SUN/106 SUN/107
New sites and people|Lawden, Mike|5|5|AA(RAL)|
Ten years ago|Lawden, Mike|5|5|AA(RAL)|SGP/13 1980ESIB....2.....S 1980ESIB....3.....S
The ADAM support group|Allan,Peter|6|6|AA(RAL)|SUN/101 Feuer,_A.R.,_Gehani,_N.,_(eds.),_1984,_Comparing_and_Assessing_Programming_Languages:_Ada,_C,_Pascal.,_Prentice-Hall
UNIX -- The good, the bad and the ugly|Clayton, Chris|7|7|AA(RAL)|SB5/G2a SB5/G2b
Portable programming|Allan, Peter|7|8|AA(RAL)|SGP/16
Parallel ASTERIX with Caplin Cybernetics|Gorrod, Martin|9|11|AA(University of Southampton)|
IPESIG News|Phillipps, Steve|12|12|AA(University of Cardiff)|
IRASIG News|Berry, David|12|12|AA(Manchester University)|SUN/70 SUN/82 SUN/116 SUN/117
Captain Starlink goes observing!|Foster, Julian; Clayton, Chris|13|13|AA(RAL)|
ROSAT on Starlink|Osborne, Julian|14|15|AA(Leicester University)|SB7/16
ROSAT and its science data analysis system|Ponman, Trevor|16|18|AA(University of Birmingham)|
Absorption-line spectroscopy of galaxies|Shaw, Martin|19|19|AA(Manchester University)|1990A&A...229..441B
