title|authors|startpage|endpage|affiliation|references
2000 Starlink Users|Lawden, Mike|1|1|AA(RAL)|
Editorial|Lawden, Mike|2|2|AA(RAL)|SB18/6 SB18/3c SB18/12 SB18/18 SB18/3a SGP/48
Did you know?|Lawden, Mike|2|2|AA(RAL)|SUN/188
Starlink software for PC/Linux|Sherman, John; McIlwrath, Brian; Bly, Martin|3|3|AA(RAL)|SB17/2b SB17/3b
FIGARO for IRAF|Chipperfield, Alan|3|3|AA(RAL)|SB16/3
GAIA -- Graphical astronomy and image analysis tool|Draper, Peter|3|5|AA(University of Durham)|SUN/214
GAUFIT -- 2D Gaussian source profiling|Privett, Grant; Ward-Thompson, Derek|6|7|AA(Cardiff University) AB(Royal Observatory, Edinburgh)|SUN/180 1996MNRAS.281..294B
New products|Lawden, Mike; Bly, Martin|8|9|AA(RAL)|SB17/16 SUN/171 SB18/3c SB18/6 SGP/48
Captain Starlink -- Muon's guide to getting on in Astronomy|Foster, Julian; Clayton, Chris|10|10|AA(RAL)|SUN/188
The Starlink Family -- October 1996|Lawden, Mike|11|11|AA(RAL)|
Remote access to the Digitised Sky Survey|Davenhall, Clive; Page, Clive|12|12|AA(University of Edinburgh) AA(University of Leicester)|SC/5 SUN/98
Difference mapping using DIFMAP and AIPS SCMAP|Shone, Dave|12|15|AA(Jodrell Bank)|
CURSA news|Davenhall, Clive|16|18|AA(University of Edinburgh)|SUN/190 SUN/181 SUN/95 SUN/137 1991adc..rept.....G
Comings and goings|Lawden, Mike|18|18|AA(RAL)|
FTOOLS Help -- it's here|Privett, Grant|18|18|AA(University of Cardiff)|
Statistician's corner|Lawden, Mike|18|19|AA(RAL)|
