title|authors|startpage|endpage|affiliation|references
Note from the ACP Chair|Ponman, Trevor|3|3|AA(Birmingham University)|
An Interview with the Head of Astronomical Computing|Clayton, Chris; Naylor, Tim|4|5|AA(Rutherford Appleton Laboratory) AB(Keele University)|
New Products|Bly, Martin|6|11|AA(Rutherford Appleton Laboratory)|SUN/212 SUN/210 SUN/211 SUN/222 SB20/10 SUN/19 SUN/5 SUN/55 SUN/139 SUN/190 SC/6 SUN/109 SUN/190 SB20/12 SUN/50 SUN/86 SB20/14 SUN/214 SB20/7 SUN/221 SUN/137 SUN/216 SUN/203 SC/2 SUN/181 SUN/136 SUN/188 SSN/68 SUN/217 SSN/35 SUN/33 SSN/20 SUN/144 SUN/67 SUN/220 SUN/140 SUN/48 SUN/13 SUN/102 SC/4 SG/10 SUN/202
New Features in GAIA|Draper, Peter|7|9|AA(Durham University)|SUN/210 SUN/211
SURF: Reducing SCUBA data|Jenness, Tim|10|11|AA(Joint Astronomy Centre)|SUN/216 SC/11 SC/10 1998ASPC..145..216J
Calibrating CCD Photometry|Davenhall, Clive|12|14|AA(Royal Observatory, Edinburgh)|SC/6 SUN/45 SUN/139 SUN/190 SUN/214 1973AJ.....78..959L 1983AJ.....88..439L 1992AJ....104..340L
New commands in FIGARO|Clayton, Chris|14|14|AA(Rutherford Appleton Laboratory)|SUN/86
Visualizing JCMT and ROSAT Data|Davenhall, Clive; Ward-Thompson, Derek|15|16|AA(Royal Observatory, Edinburgh) AB(Royal Observatory, Edinburgh)|SUN/98 SUN/203 SUN/95 SUN/55 SC/2 SG/8 SUN/17
Road-Map for CCD Photometry|Davenhall, Clive|17|19|AA(Royal Observatory, Edinburgh)|SUN/95 SUN/102 SUN/55 SUN/190 SUN/214 SUN/109 SUN/139 SUN/45 SUN/42 SUN/166 SC/6 SUN/141 SC/5 SUN/180 SUN/86 SUN/33 SUN/92
The Digitized Sky Survey|Charles, Anne; Shayler, Darrell|20|21|AA(Rutherford Appleton Laboratory) AB(Wheatley Park School)|SB18/12a 2002A&A...395.1061G
MRAO Cambridge Archive Mirrors for the NVSS and FIRST Surveys|Hales, Sally|22|22|AA(Mullard Radio Astronomy Observatory)|
Hipparcos and ROSAY Catalogues Accessible to CURSA|Davenhall, Clive|23|23|AA(Royal Observatory, Edinburgh)|SUN/190 1996IAUC.6420....2V 1998AJ....115.2161U 1997ESASP1200.....P
Captain Starlink and Muon in In Your Dreams...|Foster, Julian; Clayton, Chris|24|24|AB(Rutherford Appleton Laboratory)|
Mike Lawden Retires -- Longest-serving Project-member|Disney, Mike|25|25|AA(Cardiff University)|
Comings and Goings|Charles, Anne|25|25|AA(Rutherford Appleton Laboratory)|
Chris Clayton Departs|Wallace, Patrick|26|26|AA(Rutherford Appleton Laboratory)|
Malcolm Currie Departs (Temporarily...)|Warren-Smith, Rodney|26|26|AA(Rutherford Appleton Laboratory)|
