title|authors|startpage|endpage|affiliation|references
The official opening of the Northern Ireland nodes|Murray, Jo; Lawden, Mike|1|1|AA(Rutherford Appleton Laboratory)|
Ten years ago...|Disney, Mike|2|3|AA(Cardiff University)|
ADAM -- the early years|Shortridge, Keith|3|3|AA(Anglo-Australian Observatory)|
Obituary - Dave Pearce|Lawden, Mike|4|4|AA(Rutherford Appleton Laboratory)|SGP/2
Software and documentation news|Lawden, Mike|4|5|AA(Rutherford Appleton Laboratory)|SUN/15 SUN/23 SG/1 SUN/20 SUN/30 SGP/37 SGP/38
Hardware update|Sherman, John|5|5|AA(Rutherford Appleton Laboratory)|
VAXnotes -- electronic conferencing|Terrett, Dave|6|6|AA(Rutherford Appleton Laboratory)|
Not the Starlink Pie Chart|Lawden, Mike|6|6|AA(Rutherford Appleton Laboratory)|
Statistics packages on Starlink|Thomson, Bob; Parker, Quentin|6|7|AA(Cardiff University) AB(UKSTU)|1987ASSL..131.....M 1985ApJ...293..192F 1986ApJ...306..490I
SpecSIG and IUESIG|Rees, Paul|8|8|AA(University College London)|SGP/38
Solar Astrophysics|Mason, Helen|8|9|AA(University of Cambridge)|
Volumetric Imaging SIG|Unger, Steve|9|9|AA(Royal Greenwich Observatory)|
X-ray SIG|Ponman, Trevor|9|9|AA(University of Birmingham)|SGP/38
Letters to the editor|Richards, Phil; Howarth, Ian; Stickland, Dave|10|10| AA(Rutherford Appleton Laboratory) AB(University College London)|SUN/23 SUN/24 SG/1
Standard data formats|Currie, Malcolm|11|11|AA(Rutherford Appleton Laboratory)|SGP/38
FIGARO corner|Shortridge, Keith|11|11|AA(Anglo-Australian Observatory)|
Help stamp out hackers|Wallace, Patrick|12|12|AA(Rutherford Appleton Laboratory)|
A fringe-removal algorithm for the RCA CCD|Warren, Graeme|12|13|AA(Queen's University Belfast)|SUN/86
Starlink VAXclusters|Allan, Peter|14|14|AA(Manchester University)|
ADAM latest|Chipperfield, Alan|14|14|AA(Rutherford Appleton Laboratory)|SUN/35
The Wonder of BACKUP|Clayton, Chris|15|15|AA(University of Cambridge)|
The design of a new analysis package for X-ray astronomy -- the job so far|Saxton, Richard|16|16|AA(Leicester University)|SGP/38
IUEDR developments|Rees, Paul|16|16|AA(University College London)|
The Aardvark|Eaton, Nick|17|17|AA(Durham University)|
New IRAS CRDD software|Berry, Dave|18|18|AA(Manchester University)|SUN/24 SUN/23 SUN/40
SCAR news|Leggett, Sandy|19|19|AA(University of Edinburgh)|SUN/70
Starlink programming standard|Wallace, Patrick|19|19|AA(Rutherford Appleton Laboratory)|SB1/11 SGP/16
IRAS images destriped|Malawi, Abdul|20|20|AA(Jodrell Bank)|1987AJ.....94.1092V
