title|authors|startpage|endpage|affiliation|references
New Products|Bly, Martin|3|4|AA(Rutherford Appleton Laboratory)|SUN/212 SUN/223 SUN/139 SUN/55 SUN/180 SUN/214 SUN/95 SUN/45 SUN/216 SUN/210 SUN/211 SUN/181 SUN/209 SUN/114 SUN/144 SUN/224 SUN/67 SUN/11 SUN/86 SUN/109 SUN/164 SUN/121 SUN/131 SUN/61
NEW! POLPACK -- for Dual-beam Imaging Polarimetry|Berry, David|4|5|AA(University of Manchester)|SUN/223 SUN/55 SUN/139 SGP/44 SUN/33
Starlink Packages Accessible from IRAF CL|Draper, Peter W.|6|9|AA(University of Durham)|SUN/217 SB19/4 SUN/95 SUN/139 SB16/6 SUN/214 SB20/7 SUN/137 SUN/15 SB16/3 SUN/33
Importing JCMT Heterodyne Data into IDL|Davenhall, Clive|10|11|AA(University of Edinburgh)|SUN/55 SC/2 SG/8 SUN/17 SB20/15
Starlink Support for AIPS|Holloway, Anthony|12|12|AA(Manchester University)|
Starlink IRAF Mirror|McIlwrath, Brian|12|12|AA(Rutherford Appleton Laboratory)|
How to Access Standard Data Files from Your Own Programs|Davenhall, Clive|13|17|AA(University of Edinburgh)|SUN/136 SUN/115 SUN/95 SUN/102 SUN/55 SUN/160 SC/12 SUN/179 SUN/101 SC/6 SUN/86 SUN/33 SUN/92
Quick Service News|Bly, Martin|18|18|AA(Rutherford Appleton Laboratory)|
Text Editors on Starlink Systems|McIlwrath, Brian|19|19|AA(Rutherford Appleton Laboratory)|SUN/168 SUN/170
Software Survey Results|Charles, Anne|19|19|AA(Rutherford Appleton Laboratory)|
Web Page of Astronomical Archives|Charles, Anne|20|20|AA(Rutherford Appleton Laboratory)|
Proposed Theory Resources Cookbook|Gray, Norman|20|20|AA(University of Glasgow)|
Timetable for ACP Strategy Development Process|Naylor, Tim|21|21|AA(Keele University)|
Comings and Goings|Roberts, Andrea|21|21|AA(Rutherford Appleton Laboratory)|
Introducing... Martin Bly|Bly, Martin|22|22|AA(Rutherford Appleton Laboratory)|
Introducing... Dave Rawlinson|Rawlinson, Dave|22|22|AA(Rutherford Appleton Laboratory)|
