title|authors|startpage|endpage|affiliation|references
The future of Starlink -- the view from afar|Tennant, Allyn|2|4|AA(NASA Marchall Space Flight Center)|
Sharp practices?|Tanvir, Nial; Shanks, Tom; Redfern, Mike; Devaney, Nick; O'Kane, Peter|4|5|AA(Durham University)|
I've got this FITS tape...|Currie, Malcolm|6|6|AA(Rutherford Appleton Laboratory)|SB1/7 SGP/38 1988A&AS...73..359G 1988A&AS...73..365H 1981A&AS...44..363W 1981A&AS...44..371G
Lunatic's corner|Wallace, Patrick|7|7|AA(Rutherford Appleton Laboratory)|
Software and documentation news|Lawden, Mike|7|7|AA(Rutherford Appleton Laboratory)|SUN/43 SUN/76 SUN/53 SUN/18 SUN/63 SUN/61 SUN/94 SUN/19 SUN/27NDPROGS SUN/1 SGP8 SGP/14 SGP/20 SGP/21 SGP/25 SGP/28 SG/2 SG/4
Image Processing Environment (IPE) SIG|Phillipps, Steve|8|8|AA(University of Cardiff)|SUN/45 SUN/42 SB4/26 SB4/14
Database SIG|Kelly, Dennis|8|9|AA(Royal Observatory, Edinburgh)|SB1/9 SB2/19 SB3/17 SUN/70
IRAS SIG|Emerson, Jim|9|9|AA(Queen Mary College)|SUN/23 SUN/24 1989mebm.conf.....S 1988JBIS...41..363B
Solar Astrophysics SIG|Mason, Helen|9|9|AA(University of Cambridge)|
HST and Starlink|Disney, Mike|10|11|AA(Cardiff University)|SB1/8a SB3/15
Transputer power rules, OK!|Coe, Malcolm|12|13|AA(University of Southampton)|
Stellar spectroscopic atlases on Starlink|Hill, Phil|13|13|AA(University of St Andrews)|1983ApJS...52..121G 1984ApJS...56..257J SUN/30
Letters to the editor|Carswell, Bob; Eaton, Nick; Shortridge, Keith; Montesinos, Benjamin; Terrett, Dave; Warren-Smith, Rodney; Unger, Steve|14|16|AA(University of Cambridge) AB(Durham University) AC(Anglo-Australian Observatory) AD(University of Oxford) AE(Rutherford Appleton Laboratory) AF(Royal Greenwich Observatory)|SGP/38
Software reorganisation|Lawden, Mike|16|17|AA(Rutherford Appleton Laboratory)|SUN/59
What's new in VMS 5?|Allan, Peter|17|17|AA(University of Manchester)|
IUEDR corner|Rees, Paul|18|18|AA(University College London)|SUN/37 SG/3 SG/2 1988EIUEN..31....7C !Imhoff,_1989,_NASA_IUE_Newsletter,_37,_p122
Computer Aided Software Engineering|Beard,Steven|18|19|AA(Royal Obervatory, Edinburgh)|1985sdrt.book.....W
Data analysis workshop|Eaton, Nick|20|20|AA(Durham University)|
A comparison of ULDA and IUEDR products|O'Brien, Paul|20|21|AA(University College London)|SUN/58 SUN/37 SB1/12a 1988EIUEN..30.....D SUN/20 SUN/50
Solar maximum observed by SMM|Phillips, Ken|22|22|AA(Rutherford Appleton Laboratory)|SB4/9b
HDS -- How Data Sits|Lupton, William|23|23|AA(Anglo-Australian Observatory)|SGP/38
MAILclubs|Wallace, Patrick|23|23|AA(Rutherford Appleton Laboratory)|
Figaro corner|Shortridge, Keith|24|24|AA(Anglo-Australian Observatory)|
Starlink programming conference|Eaton, Nick|24|25|AA(Durham University)|SGP/16
Site manager's soapbox|Clayton, Chris|25|25|AA(University of Cambridge)|SUN/1
IDI -- an Image Display Interface|Warren-Smith, Rodney; Eaton, Nick|26|26|AA(Rutherford Appleton Laboratory)|1988A&AS...76..263T
HST simulation|Penny, Alan|28|28|AA(Rutherford Appleton Laboratory)|
