1989StarB...3...17G 1995StaUN..58.....L
1989StarB...3...17G 1993StaUN..20.....M
1989StarB...3...19R 1969drea.book.....B
1989StarB...3...19M 1988IAUS..130..151M
1989StarB...4....6C 1988StarB...1....7A
1989StarB...4....6C 2009StaGP..38.....C
1989StarB...4....6C 1988A&AS...73..359G
1989StarB...4....6C 1988A&AS...73..365H
1989StarB...4....6C 1981A&AS...44..363W
1989StarB...4....6C 1981A&AS...44..371G
1989StarB...4....7L 1989StaUN..43.....S
1989StarB...4....7L 1992StaUN..76.....T
1989StarB...4....7L 1996StaUN..53.....F
1989StarB...4....7L 1996StaUN..18.....R
1989StarB...4....7L 1992StaUN..63.....R
1989StarB...4....7L 2006StaUN..61.....W
1989StarB...4....7L 1989StaUN..94.....C
1989StarB...4....7L 1996StaUN..19.....P
1989StarB...4....7L 2003StaUN...1.....R
1989StarB...4....7L 1992StaGP...8.....B
1989StarB...4....7L 1988StaGP..14.....B
1989StarB...4....7L 1990StaGP..20.....L
1989StarB...4....7L 2000StaGP..21.....L
1989StarB...4....7L 1997StaGP..25.....S
1989StarB...4....7L 1997StaGP..28.....L
1989StarB...4....7L 1992StarG...4.....L
1989StarB...4....7L 1989StarB...4...16L
1989StarB...4....8P 2009StaUN..45.....E
1989StarB...4....8P 1996StaUN..42.....E
1989StarB...4....8P 1989StarB...4...26W
1989StarB...4....8P 1989StarB...4...14C
1989StarB...4....8K 1988StarB...1....9K
1989StarB...4....8K 1988StarB...2...19L
1989StarB...4....8K 1989StarB...3...17G
1989StarB...4....8K 1990StaUN..70.....W
1989StarB...4....9E 1991StaUN..23.....L
1989StarB...4....9E 1988StaUN..24.....L
1989StarB...4....9E 1989StarB...3...14B
1989StarB...4....9E 1988StarB...2...18B
1989StarB...4....9E 1989mebm.conf.....S
1989StarB...4....9E 1988JBIS...41..363B
1989StarB...4...10D 1988StarB...1....8C
1989StarB...4...10D 1989StarB...3...15P
1989StarB...4...10D 1989StarB...4...28P
1989StarB...4...13H 1983ApJS...52..121G
1989StarB...4...13H 1984ApJS...56..257J
1989StarB...4...13H 1989StaUN..30.....G
1989StarB...4...14C 2009StaGP..38.....C
1989StarB...4...14C 1989StarB...4....8P
1989StarB...4...16L 1989StaUN..59.....L
1989StarB...4...18R 1996StaUN..37.....G
1989StarB...4...18R 1993StarG...3.....R
1989StarB...4...18R 1988EIUEN..31....7C
1989StarB...4...18B 1985sdrt.book.....W
1989StarB...4...20O 1995StaUN..58.....L
1989StarB...4...20O 1996StaUN..37.....G
1989StarB...4...20O 1988StarB...1...12D
1989StarB...4...20O 1988EIUEN..30.....D
1989StarB...4...20O 1993StaUN..20.....M
1989StarB...4...20O 2004StaUN..50.....H
1989StarB...4...22P 1989StarB...4....9M
1989StarB...4...23L 2009StaGP..38.....C
1989StarB...4...24E 1992StaGP..16.....W
1989StarB...4...25C 2003StaUN...1.....R
1989StarB...4...26W 1988A&AS...76..263T
1990StarB...5....2M 1990StarB...5G...2A
1990StarB...5....2M 1990StarB...5G...2S
1990StarB...5....2M 1990StarB...5G...4W
1990StarB...5....2M 1990StarB...5G...5D
1990StarB...5....2M 1990StarB...5G...6B
1990StarB...5....2M 1990StarB...5G...7F
1990StarB...5....2M 1990StarB...5G...8P
1990StarB...5....2M 1990StarB...5G..10W
1990StarB...5....2P 1992StaGP..16.....W
1990StarB...5....4L 1992StarG...4.....L
1990StarB...5....5C 1990adam.proc.....C
1990StarB...5....6M 2000StaUN..17.....P
1990StarB...5....6M 1996StaUN..41.....A
1990StarB...5....6M 2013StaUN..95.....C
1990StarB...5....6C 1989StaUN..68.....T
1990StarB...5....6C 1981A&AS...44..363W
1990StarB...5....6C 1981A&AS...44..371G
1990StarB...5....6C 1988A&AS...73..359G
1990StarB...5....6C 1988A&AS...73..365H
1990StarB...5....9L 2005StaUN..40.....C
1990StarB...5....9L 1995StaUN..57.....T
1990StarB...5....9L 1995StaUN..65.....E
1990StarB...5....9L 1989StaSN..65.....H
1990StarB...5....9L 2013StaUN..55.....C
1990StarB...5....9L 1994StaUN..16.....W
1990StarB...5....9L 1997StaUN..66.....B
1990StarB...5....9L 1990StarB...5...18B
1990StarB...5....9L 1990StarB...5...28C
1990StarB...5....9L 1989StaGP...1.....R
1990StarB...5....9L 2003StaUN...5.....W
1990StarB...5....9L 1989StaUN..14.....W
1990StarB...5....9L 1989StaUN..30.....G
1990StarB...5....9L 1995StaUN..85.....W
1990StarB...5....9L 1989StaUN..91.....P
1990StarB...5....9L 1992StarG...4.....L
1990StarB...5....9L 1990StarB...5....4L
1990StarB...5...10M 1992StaGP..16.....W
1990StarB...5...15W 2003StaUN...5.....W
1990StarB...5...15W 1989StaUN..32.....C
1990StarB...5...15W 2005StaUN..67.....W
1990StarB...5...16S 1989StarB...4...20E
1990StarB...5...16S 1989StarB...4...26W
